"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Edmonton,,,,
Global non-response rate (GNR) =   5.7 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"        3413 Nurse aides, orderlies and patient service associates",8925,41032,40581,
        3414 Other assisting occupations in support of health services,1875,37601,40114,
"  4 Occupations in education, law and social, community and government services",81860,53567,60430,
    40 Professional occupations in education services,26075,65668,65332,
      401 University professors and post-secondary assistants,7970,34598,60599,
        4011 University professors and lecturers,3645,96634,101218,
        4012 Post-secondary teaching and research assistants,4325,14835,26399,
      402 College and other vocational instructors,3045,76622,72845,
        4021 College and other vocational instructors,3040,76622,72845,
      403 Secondary and elementary school teachers and educational counsellors,15065,70882,66318,
        4031 Secondary school teachers,4900,81266,71772,
        4032 Elementary school and kindergarten teachers,9440,67777,63700,
        4033 Educational counsellors,725,63441,63555,
"    41 Professional occupations in law and social, community and government services",19115,70430,81378,
"      411 Judges, lawyers and Quebec notaries",3270,115647,148905,
        4111 Judges,115,307280,217972,
        4112 Lawyers and Quebec notaries,3155,114338,146306,
      415 Social and community service professionals,6455,61822,61692,
        4151 Psychologists,1035,74101,73402,
        4152 Social workers,2460,67985,65172,
"        4153 Family, marriage and other related counsellors",905,54047,56508,
        4154 Professional occupations in religion,1250,55343,51133,
        4155 Probation and parole officers and related occupations,295,75427,66324,
        4156 Employment counsellors,510,53790,53544,
"      416 Policy and program researchers, consultants and officers",9385,69406,71375,
"        4161 Natural and applied science policy researchers, consultants and program officers",1195,77531,79595,
        4162 Economists and economic policy researchers and analysts,565,89083,92184,
        4163 Business development officers and marketing researchers and consultants,1970,64669,73600,
"        4164 Social policy researchers, consultants and program officers",1495,70137,69652,
"        4165 Health policy researchers, consultants and program officers",1555,68180,68630,
"        4166 Education policy researchers, consultants and program officers",1140,74133,71581,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",475,49819,52231,
        4168 Program officers unique to government,750,60692,56549,
"        4169 Other professional occupations in social science, n.e.c.",240,70794,74639,
"    42 Paraprofessional occupations in legal, social, community and education services",13320,35247,38168,
"      421 Paraprofessional occupations in legal, social, community and education services",13325,35247,38168,
