"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Nova Scotia / Nouvelle-…cosse,,,,
Global non-response rate (GNR) =   5.5 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"        4161 Natural and applied science policy researchers, consultants and program officers",680,56218,60076,
        4162 Economists and economic policy researchers and analysts,225,66438,61576,
        4163 Business development officers and marketing researchers and consultants,1145,51463,53464,
"        4164 Social policy researchers, consultants and program officers",750,56648,54867,
"        4165 Health policy researchers, consultants and program officers",915,55523,55039,
"        4166 Education policy researchers, consultants and program officers",710,62210,62246,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",330,42422,39926,
        4168 Program officers unique to government,605,31593,42291,
"        4169 Other professional occupations in social science, n.e.c.",205,39968,39418,
"    42 Paraprofessional occupations in legal, social, community and education services",10040,29632,31518,
"      421 Paraprofessional occupations in legal, social, community and education services",10040,29632,31518,
        4211 Paralegal and related occupations,730,41205,42402,
        4212 Social and community service workers,4585,38639,38091,
        4214 Early childhood educators and assistants,3500,21300,20813,
        4215 Instructors of persons with disabilities,345,44368,47773,
        4216 Other instructors,725,12650,21985,
        4217 Other religious occupations,155,32723,35851,
    43 Occupations in front-line public protection services,8395,73451,71988,
      431 Occupations in front-line public protection services,8395,73451,71988,
        4311 Police officers (except commissioned),1940,97700,95095,
        4312 Firefighters,870,75708,77276,
        4313 Non-commissioned ranks of the Canadian Armed Forces,5580,67938,63115,
"    44 Care providers and educational, legal and public protection support occupations",10070,20662,24970,
      441 Home care providers and educational support occupations,8830,17711,19669,
        4411 Home child care providers,2065,7698,11661,
"        4412 Home support workers, housekeepers and related occupations",2920,22148,23995,
        4413 Elementary and secondary school teacher assistants,3840,21320,20691,
      442 Legal and public protection support occupations,1240,65431,62767,
        4421 Sheriffs and bailiffs,225,60698,56951,
