"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Guelph,,,,
Global non-response rate (GNR) =   3.9 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        6316 Other services supervisors,45,30149,42485,
      632 Chefs and cooks,1040,17687,20319,
        6321 Chefs,245,29527,33397,
        6322 Cooks,795,13557,16316,
      633 Butchers and bakers,275,25765,30199,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",95,40405,38639,
        6332 Bakers,185,21721,25982,
      634 Specialized occupations in personal and customer services,520,18513,20592,
        6341 Hairstylists and barbers,455,18762,20231,
"        6342 Tailors, dressmakers, furriers and milliners",30,10337,11722,
        6343 Shoe repairers and shoemakers,0,0,0,
"        6344 Jewellers, jewellery and watch repairers and related occupations",10,0,0,
        6345 Upholsterers,10,0,0,
        6346 Funeral directors and embalmers,15,0,0,
    64 Sales representatives and salespersons - wholesale and retail trade,3675,20443,33074,
      641 Sales and account representatives - wholesale trade (non-technical),735,53764,64536,
        6411 Sales and account representatives - wholesale trade (non-technical),735,53764,64536,
      642 Retail salespersons,2935,16706,25171,
        6421 Retail salespersons,2935,16706,25171,
    65 Service representatives and other customer and personal services occupations,3575,17217,23785,
      651 Occupations in food and beverage service,1255,9463,12299,
        6511 Maîtres d'hôtel and hosts/hostesses,155,5895,6973,
        6512 Bartenders,145,12584,16386,
        6513 Food and beverage servers,955,9891,12557,
      652 Occupations in travel and accommodation,250,31913,34322,
        6521 Travel counsellors,65,31972,29816,
        6522 Pursers and flight attendants,95,51237,47778,
        6523 Airline ticket and service agents,30,0,0,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",10,0,0,
        6525 Hotel front desk clerks,60,11779,12989,
      653 Tourism and amusement services occupations,30,0,0,
        6531 Tour and travel guides,0,0,0,
        6532 Outdoor sport and recreational guides,0,0,0,
        6533 Casino occupations,25,0,0,
      654 Security guards and related security service occupations,325,25597,28235,
        6541 Security guards and related security service occupations,325,25597,28235,
      655 Customer and information services representatives,1310,29587,33209,
        6551 Customer services representatives - financial institutions,290,24522,28802,
        6552 Other customer and information services representatives,1020,31541,34457,
      656 Other occupations in personal service,405,14908,18362,
"        6561 Image, social and other personal consultants",10,0,0,
"        6562 Estheticians, electrologists and related occupations",210,15158,17152,
        6563 Pet groomers and animal care workers,175,13140,19742,
        6564 Other personal service occupations,15,0,0,
    66 Sales support occupations,2625,9991,14652,
      661 Cashiers,1490,8811,11060,
        6611 Cashiers,1485,8811,11060,
      662 Other sales support and related occupations,1140,13311,19352,
        6621 Service station attendants,35,11656,15302,
"        6622 Store shelf stockers, clerks and order fillers",1005,13317,19125,
        6623 Other sales related occupations,95,13741,23156,
"    67 Service support and other service occupations, n.e.c.",4690,12599,18646,
"      671 Food counter attendants, kitchen helpers and related support occupations",2165,8714,11996,
