"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Newfoundland and Labrador / Terre-Neuve-et-Labrador,,,,
Global non-response rate (GNR) =   6.8 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        2281 Computer network technicians,800,62853,62391,
        2282 User support technicians,380,61930,60410,
        2283 Information systems testing technicians,25,0,0,
  3 Health occupations,19705,57711,66026,
    30 Professional occupations in nursing,5925,79159,69223,
      301 Professional occupations in nursing,5925,79159,69223,
        3011 Nursing co-ordinators and supervisors,275,83654,71758,
        3012 Registered nurses and registered psychiatric nurses,5655,78943,69101,
    31 Professional occupations in health (except nursing),3560,91102,127669,
"      311 Physicians, dentists and veterinarians",1645,155037,188594,
        3111 Specialist physicians,625,196793,222527,
        3112 General practitioners and family physicians,750,150976,168930,
        3113 Dentists,205,161605,176958,
        3114 Veterinarians,70,106726,127795,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",245,85058,87995,
        3121 Optometrists,40,73646,82516,
        3122 Chiropractors,70,80284,88668,
        3124 Allied primary health practitioners,120,115342,100600,
        3125 Other professional occupations in health diagnosing and treating,25,0,0,
"      313 Pharmacists, dietitians and nutritionists",840,82929,82328,
        3131 Pharmacists,675,89666,87212,
        3132 Dietitians and nutritionists,160,76138,61632,
      314 Therapy and assessment professionals,825,69023,64216,
        3141 Audiologists and speech-language pathologists,180,86524,74314,
        3142 Physiotherapists,290,77506,75242,
        3143 Occupational therapists,185,71628,68934,
        3144 Other professional occupations in therapy and assessment,175,28259,30450,
    32 Technical occupations in health,6060,53718,53002,
      321 Medical technologists and technicians (except dental health),2420,47214,51318,
        3211 Medical laboratory technologists,470,67226,64524,
        3212 Medical laboratory technicians and pathologists' assistants,385,49405,46704,
        3213 Animal health technologists and veterinary technicians,195,29610,31856,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",145,74870,70258,
        3215 Medical radiation technologists,350,73366,80130,
        3216 Medical sonographers,60,76938,81999,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",65,49786,48641,
        3219 Other medical technologists and technicians (except dental health),745,29445,30787,
      322 Technical occupations in dental health care,300,69719,69097,
        3221 Denturists,25,0,0,
        3222 Dental hygienists and dental therapists,250,72353,69462,
"        3223 Dental technologists, technicians and laboratory assistants",20,0,0,
      323 Other technical occupations in health care,3340,56020,52781,
        3231 Opticians,90,42394,40357,
        3232 Practitioners of natural healing,55,0,0,
        3233 Licensed practical nurses,1995,64258,56833,
        3234 Paramedical occupations,760,46988,52648,
        3236 Massage therapists,300,32596,32682,
        3237 Other technical occupations in therapy and assessment,140,46865,56050,
    34 Assisting occupations in support of health services,4160,26476,27752,
      341 Assisting occupations in support of health services,4165,26476,27752,
        3411 Dental assistants,365,31529,30037,
"        3413 Nurse aides, orderlies and patient service associates",3295,25387,27117,
        3414 Other assisting occupations in support of health services,505,29608,30249,
"  4 Occupations in education, law and social, community and government services",34460,35577,47841,
    40 Professional occupations in education services,10795,69235,63334,
      401 University professors and post-secondary assistants,2305,59393,66310,
        4011 University professors and lecturers,1295,101477,102821,
        4012 Post-secondary teaching and research assistants,1010,7872,19440,
      402 College and other vocational instructors,1445,64864,61192,
        4021 College and other vocational instructors,1445,64864,61192,
      403 Secondary and elementary school teachers and educational counsellors,7045,69434,62800,
        4031 Secondary school teachers,2180,69325,62653,
        4032 Elementary school and kindergarten teachers,4540,69456,62512,
        4033 Educational counsellors,325,77110,67824,
"    41 Professional occupations in law and social, community and government services",6145,66013,70555,
"      411 Judges, lawyers and Quebec notaries",815,127848,140791,
        4111 Judges,60,305794,269254,
        4112 Lawyers and Quebec notaries,750,125912,130352,
      415 Social and community service professionals,2760,59777,57311,
        4151 Psychologists,245,74540,69060,
        4152 Social workers,1220,74292,67803,
"        4153 Family, marriage and other related counsellors",305,54711,49773,
        4154 Professional occupations in religion,720,40610,39452,
        4155 Probation and parole officers and related occupations,65,76361,68194,
        4156 Employment counsellors,205,57667,51119,
"      416 Policy and program researchers, consultants and officers",2570,65215,62619,
"        4161 Natural and applied science policy researchers, consultants and program officers",390,76210,76833,
        4162 Economists and economic policy researchers and analysts,125,88132,85156,
