"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Alberta [1],,,,
Global non-response rate (GNR) =   6.1 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
        5122 Editors,1095,37607,42614,
        5123 Journalists,860,49970,55973,
"        5125 Translators, terminologists and interpreters",635,12189,26083,
      513 Creative and performing artists,8550,14166,25062,
"        5131 Producers, directors, choreographers and related occupations",1425,46004,52044,
"        5132 Conductors, composers and arrangers",220,23951,29844,
        5133 Musicians and singers,3565,11800,18828,
        5134 Dancers,1135,13896,19682,
        5135 Actors and comedians,525,6440,14840,
"        5136 Painters, sculptors and other visual artists",1675,11977,21625,
"    52 Technical occupations in art, culture, recreation and sport",35325,20145,33374,
"      521 Technical occupations in libraries, public archives, museums and art galleries",2335,28928,30393,
        5211 Library and public archive technicians,1490,33066,34361,
        5212 Technical occupations related to museums and art galleries,845,15579,23424,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",5265,29729,38123,
        5221 Photographers,2060,15900,23773,
        5222 Film and video camera operators,370,40867,42806,
        5223 Graphic arts technicians,325,46467,58126,
        5224 Broadcast technicians,240,64472,58243,
        5225 Audio and video recording technicians,765,38582,39851,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",930,44406,53706,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",565,31438,39047,
"      523 Announcers and other performers, n.e.c.",1180,26571,42365,
        5231 Announcers and other broadcasters,570,45861,60635,
"        5232 Other performers, n.e.c.",610,15213,25329,
      524 Creative designers and craftspersons,9200,33758,39404,
        5241 Graphic designers and illustrators,4385,38893,42000,
        5242 Interior designers and interior decorators,2520,38623,45472,
"        5243 Theatre, fashion, exhibit and other creative designers",950,27191,37427,
        5244 Artisans and craftspersons,1315,14916,20386,
"        5245 Patternmakers - textile, leather and fur products",25,0,0,
"      525 Athletes, coaches, referees and related occupations",17345,12522,28524,
        5251 Athletes,415,23235,292786,
        5252 Coaches,1400,31529,45221,
        5253 Sports officials and referees,580,2854,15058,
"        5254 Program leaders and instructors in recreation, sport and fitness",14950,12027,20144,
  6 Sales and service occupations,508050,21211,31187,
    62 Retail sales supervisors and specialized sales occupations,47520,48597,66697,
      621 Retail sales supervisors,8900,32510,38320,
        6211 Retail sales supervisors,8900,32510,38320,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,15395,70326,91215,
        6221 Technical sales specialists - wholesale trade,11275,86799,109304,
        6222 Retail and wholesale buyers,4120,31934,41727,
"      623 Insurance, real estate and financial sales occupations",23225,47861,61322,
        6231 Insurance agents and brokers,7685,52502,68460,
        6232 Real estate agents and salespersons,8255,33262,51142,
        6235 Financial sales representatives,7290,50564,65328,
    63 Service supervisors and specialized service occupations,65680,26807,30715,
      631 Service supervisors,13085,32461,39443,
        6311 Food service supervisors,7030,27392,28957,
        6312 Executive housekeepers,650,37308,38998,
"        6313 Accommodation, travel, tourism and related services supervisors",685,42517,45927,
        6314 Customer and information services supervisors,850,58817,67297,
        6315 Cleaning supervisors,1810,48119,55141,
        6316 Other services supervisors,2060,41038,47933,
      632 Chefs and cooks,32580,24634,27894,
        6321 Chefs,6815,35662,38642,
        6322 Cooks,25760,22164,25050,
      633 Butchers and bakers,6755,30726,32808,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",1940,40331,40539,
        6332 Bakers,4825,26570,29702,
      634 Specialized occupations in personal and customer services,13265,22828,27972,
        6341 Hairstylists and barbers,10580,22078,27031,
"        6342 Tailors, dressmakers, furriers and milliners",1500,23781,24396,
        6343 Shoe repairers and shoemakers,130,21357,26665,
"        6344 Jewellers, jewellery and watch repairers and related occupations",265,22876,31284,
        6345 Upholsterers,325,25725,29447,
        6346 Funeral directors and embalmers,465,53938,58270,
