"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Ottawa - Gatineau,,,,
Global non-response rate (GNR) =   4.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        5251 Athletes,110,41305,208272,
        5252 Coaches,410,24529,32298,
        5253 Sports officials and referees,205,3545,15001,
"        5254 Program leaders and instructors in recreation, sport and fitness",6725,6943,13343,
  6 Sales and service occupations,154845,17405,25714,
    62 Retail sales supervisors and specialized sales occupations,13410,42600,58487,
      621 Retail sales supervisors,2595,25828,30021,
        6211 Retail sales supervisors,2590,25828,30021,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,4280,62340,81941,
        6221 Technical sales specialists - wholesale trade,3010,76485,94937,
        6222 Retail and wholesale buyers,1270,30100,51090,
"      623 Insurance, real estate and financial sales occupations",6540,45022,54429,
        6231 Insurance agents and brokers,1840,50738,62259,
        6232 Real estate agents and salespersons,2945,34967,51512,
        6235 Financial sales representatives,1750,44679,51084,
    63 Service supervisors and specialized service occupations,20515,21222,25415,
      631 Service supervisors,3685,29342,36491,
        6311 Food service supervisors,1630,22459,24374,
        6312 Executive housekeepers,140,42917,43639,
"        6313 Accommodation, travel, tourism and related services supervisors",160,49589,49837,
        6314 Customer and information services supervisors,435,52923,55167,
        6315 Cleaning supervisors,490,37383,40149,
        6316 Other services supervisors,845,39458,44663,
      632 Chefs and cooks,10555,19874,22791,
        6321 Chefs,2600,28015,30943,
        6322 Cooks,7960,17541,20131,
      633 Butchers and bakers,2090,18983,22165,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",640,27921,27588,
        6332 Bakers,1450,16368,19782,
      634 Specialized occupations in personal and customer services,4185,19675,23905,
        6341 Hairstylists and barbers,3410,19075,22402,
"        6342 Tailors, dressmakers, furriers and milliners",390,20845,21958,
        6343 Shoe repairers and shoemakers,50,28444,30181,
"        6344 Jewellers, jewellery and watch repairers and related occupations",105,27911,26539,
        6345 Upholsterers,60,14167,16170,
        6346 Funeral directors and embalmers,170,55594,57616,
    64 Sales representatives and salespersons - wholesale and retail trade,28190,15043,24874,
      641 Sales and account representatives - wholesale trade (non-technical),2750,49759,60247,
        6411 Sales and account representatives - wholesale trade (non-technical),2750,49759,60247,
      642 Retail salespersons,25445,13636,21052,
        6421 Retail salespersons,25440,13636,21052,
    65 Service representatives and other customer and personal services occupations,35270,19793,26045,
      651 Occupations in food and beverage service,11670,12140,14428,
        6511 Maîtres d'hôtel and hosts/hostesses,1420,6667,8444,
        6512 Bartenders,1720,15305,16859,
        6513 Food and beverage servers,8530,12489,14937,
      652 Occupations in travel and accommodation,2250,32761,33302,
        6521 Travel counsellors,930,36931,36095,
        6522 Pursers and flight attendants,255,43131,40717,
        6523 Airline ticket and service agents,300,35990,41753,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",100,15340,24638,
        6525 Hotel front desk clerks,660,21563,24001,
      653 Tourism and amusement services occupations,705,36494,35581,
        6531 Tour and travel guides,195,9325,13309,
        6532 Outdoor sport and recreational guides,60,10237,13925,
        6533 Casino occupations,450,49532,48236,
      654 Security guards and related security service occupations,6860,32346,36488,
        6541 Security guards and related security service occupations,6860,32346,36488,
      655 Customer and information services representatives,10750,27102,31683,
        6551 Customer services representatives - financial institutions,2595,26163,28034,
        6552 Other customer and information services representatives,8155,27952,32844,
      656 Other occupations in personal service,3035,15878,19558,
