"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Ottawa - Gatineau (partie du Québec / Quebec part),,,,
Global non-response rate (GNR) =   4.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
      513 Creative and performing artists,630,12803,21259,
"        5131 Producers, directors, choreographers and related occupations",135,46815,47900,
"        5132 Conductors, composers and arrangers",15,0,0,
        5133 Musicians and singers,225,10173,13944,
        5134 Dancers,85,10033,11855,
        5135 Actors and comedians,20,0,0,
"        5136 Painters, sculptors and other visual artists",150,10790,14986,
"    52 Technical occupations in art, culture, recreation and sport",3230,14002,24860,
"      521 Technical occupations in libraries, public archives, museums and art galleries",245,38795,37123,
        5211 Library and public archive technicians,135,50900,46008,
        5212 Technical occupations related to museums and art galleries,110,11774,26360,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",465,35295,37747,
        5221 Photographers,105,11483,15227,
        5222 Film and video camera operators,45,72892,67108,
        5223 Graphic arts technicians,55,29918,28435,
        5224 Broadcast technicians,0,0,0,
        5225 Audio and video recording technicians,145,59902,49312,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",55,28010,43416,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",50,0,0,
"      523 Announcers and other performers, n.e.c.",110,12433,19538,
        5231 Announcers and other broadcasters,35,44438,40773,
"        5232 Other performers, n.e.c.",80,6355,9875,
      524 Creative designers and craftspersons,840,26171,33413,
        5241 Graphic designers and illustrators,485,34246,37943,
        5242 Interior designers and interior decorators,190,33117,34465,
"        5243 Theatre, fashion, exhibit and other creative designers",70,17849,24871,
        5244 Artisans and craftspersons,90,9058,14352,
"        5245 Patternmakers - textile, leather and fur products",0,0,0,
"      525 Athletes, coaches, referees and related occupations",1570,7177,14954,
        5251 Athletes,25,0,0,
        5252 Coaches,95,20027,22247,
        5253 Sports officials and referees,35,0,0,
"        5254 Program leaders and instructors in recreation, sport and fitness",1415,6744,11309,
  6 Sales and service occupations,40865,18217,24179,
    62 Retail sales supervisors and specialized sales occupations,2455,36644,46295,
