"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = London,,,,
Global non-response rate (GNR) =   4.3 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
    65 Service representatives and other customer and personal services occupations,13290,17643,23010,
      651 Occupations in food and beverage service,3855,10056,12105,
        6511 Maîtres d'hôtel and hosts/hostesses,395,5091,6919,
        6512 Bartenders,520,14016,14694,
        6513 Food and beverage servers,2945,10140,12350,
      652 Occupations in travel and accommodation,770,24941,26625,
        6521 Travel counsellors,330,28729,26627,
        6522 Pursers and flight attendants,60,53244,52142,
        6523 Airline ticket and service agents,40,46930,37383,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",40,40492,45918,
        6525 Hotel front desk clerks,300,16361,17541,
      653 Tourism and amusement services occupations,145,25756,30392,
        6531 Tour and travel guides,35,0,0,
        6532 Outdoor sport and recreational guides,25,0,10858,
        6533 Casino occupations,85,39552,46244,
      654 Security guards and related security service occupations,1555,24351,28215,
        6541 Security guards and related security service occupations,1560,24351,28215,
      655 Customer and information services representatives,5695,27820,29644,
        6551 Customer services representatives - financial institutions,1560,31132,31122,
        6552 Other customer and information services representatives,4135,26227,29086,
      656 Other occupations in personal service,1270,13800,16973,
"        6561 Image, social and other personal consultants",35,24114,21878,
"        6562 Estheticians, electrologists and related occupations",745,14307,18363,
        6563 Pet groomers and animal care workers,455,11864,14396,
        6564 Other personal service occupations,30,0,0,
    66 Sales support occupations,7710,11014,14983,
      661 Cashiers,4630,9140,11815,
        6611 Cashiers,4630,9140,11815,
      662 Other sales support and related occupations,3080,14622,19743,
        6621 Service station attendants,105,16075,17647,
"        6622 Store shelf stockers, clerks and order fillers",2380,14721,18203,
