"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Trois-Rivières,,,,
Global non-response rate (GNR) =   3.8 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"        5125 Translators, terminologists and interpreters",80,35534,33214,
      513 Creative and performing artists,220,17117,22142,
"        5131 Producers, directors, choreographers and related occupations",50,40269,43551,
"        5132 Conductors, composers and arrangers",0,0,0,
        5133 Musicians and singers,70,13965,20003,
        5134 Dancers,15,0,0,
        5135 Actors and comedians,15,0,0,
"        5136 Painters, sculptors and other visual artists",70,17218,16825,
"    52 Technical occupations in art, culture, recreation and sport",1410,12561,19125,
"      521 Technical occupations in libraries, public archives, museums and art galleries",55,20093,24985,
        5211 Library and public archive technicians,25,0,36680,
        5212 Technical occupations related to museums and art galleries,30,0,0,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",275,28843,29841,
        5221 Photographers,20,0,0,
        5222 Film and video camera operators,30,0,0,
        5223 Graphic arts technicians,105,30514,28999,
        5224 Broadcast technicians,0,0,0,
        5225 Audio and video recording technicians,40,34049,36640,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",45,28029,31495,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",25,0,0,
"      523 Announcers and other performers, n.e.c.",45,16226,27694,
        5231 Announcers and other broadcasters,25,0,40453,
"        5232 Other performers, n.e.c.",20,0,0,
      524 Creative designers and craftspersons,290,20383,21542,
        5241 Graphic designers and illustrators,120,24190,21833,
        5242 Interior designers and interior decorators,110,25838,27343,
"        5243 Theatre, fashion, exhibit and other creative designers",25,0,0,
        5244 Artisans and craftspersons,40,16027,11903,
"        5245 Patternmakers - textile, leather and fur products",0,0,0,
"      525 Athletes, coaches, referees and related occupations",745,6979,13253,
        5251 Athletes,15,0,0,
        5252 Coaches,55,23437,23825,
        5253 Sports officials and referees,20,0,0,
"        5254 Program leaders and instructors in recreation, sport and fitness",655,6152,11787,
  6 Sales and service occupations,19640,16348,21099,
    62 Retail sales supervisors and specialized sales occupations,1250,38644,44154,
      621 Retail sales supervisors,265,34019,38179,
        6211 Retail sales supervisors,260,34019,38179,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,370,44450,54046,
        6221 Technical sales specialists - wholesale trade,225,62338,67245,
        6222 Retail and wholesale buyers,145,29358,33357,
"      623 Insurance, real estate and financial sales occupations",615,39540,40772,
        6231 Insurance agents and brokers,260,32975,36440,
        6232 Real estate agents and salespersons,195,41450,43610,
        6235 Financial sales representatives,160,44940,44445,
    63 Service supervisors and specialized service occupations,2670,16657,19670,
      631 Service supervisors,195,26610,31714,
        6311 Food service supervisors,85,20661,23891,
        6312 Executive housekeepers,0,0,0,
"        6313 Accommodation, travel, tourism and related services supervisors",15,0,0,
        6314 Customer and information services supervisors,35,55734,54253,
        6315 Cleaning supervisors,45,27848,34192,
        6316 Other services supervisors,25,0,0,
      632 Chefs and cooks,1440,17215,19458,
        6321 Chefs,80,32198,29128,
        6322 Cooks,1360,16874,18889,
      633 Butchers and bakers,235,26723,27053,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",110,31979,30933,
        6332 Bakers,125,18265,23740,
      634 Specialized occupations in personal and customer services,795,13980,14872,
        6341 Hairstylists and barbers,610,13722,13238,
"        6342 Tailors, dressmakers, furriers and milliners",90,10550,15706,
        6343 Shoe repairers and shoemakers,0,0,0,
"        6344 Jewellers, jewellery and watch repairers and related occupations",20,0,0,
        6345 Upholsterers,50,22205,22816,
        6346 Funeral directors and embalmers,15,0,0,
    64 Sales representatives and salespersons - wholesale and retail trade,3340,16035,22792,
      641 Sales and account representatives - wholesale trade (non-technical),355,50752,51059,
        6411 Sales and account representatives - wholesale trade (non-technical),355,50752,51059,
      642 Retail salespersons,2980,14598,19406,
        6421 Retail salespersons,2980,14598,19406,
    65 Service representatives and other customer and personal services occupations,4190,19974,22845,
      651 Occupations in food and beverage service,1535,17021,18195,
        6511 Maîtres d'hôtel and hosts/hostesses,155,7169,12917,
        6512 Bartenders,135,13599,13486,
        6513 Food and beverage servers,1245,18518,19372,
      652 Occupations in travel and accommodation,235,18826,20927,
        6521 Travel counsellors,95,19519,19788,
        6522 Pursers and flight attendants,25,0,43258,
        6523 Airline ticket and service agents,10,0,0,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",0,0,0,
        6525 Hotel front desk clerks,105,15512,15497,
      653 Tourism and amusement services occupations,45,9851,14570,
        6531 Tour and travel guides,35,8918,10826,
        6532 Outdoor sport and recreational guides,0,0,0,
        6533 Casino occupations,10,0,0,
      654 Security guards and related security service occupations,520,22471,26767,
        6541 Security guards and related security service occupations,520,22471,26767,
      655 Customer and information services representatives,1435,28205,29220,
        6551 Customer services representatives - financial institutions,400,30342,32510,
        6552 Other customer and information services representatives,1035,25403,27943,
      656 Other occupations in personal service,425,12678,15254,
"        6561 Image, social and other personal consultants",20,0,0,
"        6562 Estheticians, electrologists and related occupations",285,13654,14406,
        6563 Pet groomers and animal care workers,90,13138,16866,
        6564 Other personal service occupations,25,0,0,
    66 Sales support occupations,3555,11002,13854,
      661 Cashiers,2195,10020,11800,
        6611 Cashiers,2200,10020,11800,
      662 Other sales support and related occupations,1355,13448,17183,
        6621 Service station attendants,60,9040,9383,
"        6622 Store shelf stockers, clerks and order fillers",970,14183,16048,
        6623 Other sales related occupations,325,13818,22091,
"    67 Service support and other service occupations, n.e.c.",4630,15030,18463,
"      671 Food counter attendants, kitchen helpers and related support occupations",1605,10446,13113,
"        6711 Food counter attendants, kitchen helpers and related support occupations",1600,10446,13113,
"      672 Support occupations in accommodation, travel and amusement services",125,15369,16701,
