"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Ontario [1],,,,
Global non-response rate (GNR) =   4.6 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
        5123 Journalists,4475,46210,54579,
"        5125 Translators, terminologists and interpreters",4955,22254,29443,
      513 Creative and performing artists,42425,13864,28436,
"        5131 Producers, directors, choreographers and related occupations",11145,47979,56543,
"        5132 Conductors, composers and arrangers",1695,17794,32479,
        5133 Musicians and singers,13535,10387,17129,
        5134 Dancers,3815,9996,16402,
        5135 Actors and comedians,5515,9103,18838,
"        5136 Painters, sculptors and other visual artists",6715,9227,18271,
"    52 Technical occupations in art, culture, recreation and sport",148935,15738,28478,
"      521 Technical occupations in libraries, public archives, museums and art galleries",6565,29177,31745,
        5211 Library and public archive technicians,3645,41448,41235,
        5212 Technical occupations related to museums and art galleries,2920,11542,19918,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",26295,29401,39439,
        5221 Photographers,7155,12422,20906,
        5222 Film and video camera operators,2120,27709,36736,
        5223 Graphic arts technicians,1665,39921,47046,
        5224 Broadcast technicians,1175,60988,59213,
        5225 Audio and video recording technicians,4805,39653,46843,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",5185,45791,52125,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",4185,29979,39679,
"      523 Announcers and other performers, n.e.c.",4620,16492,36321,
        5231 Announcers and other broadcasters,2040,35670,53617,
"        5232 Other performers, n.e.c.",2580,9664,22654,
      524 Creative designers and craftspersons,47175,31667,37779,
        5241 Graphic designers and illustrators,26410,37144,41222,
        5242 Interior designers and interior decorators,10295,30662,37908,
"        5243 Theatre, fashion, exhibit and other creative designers",5205,27703,37246,
        5244 Artisans and craftspersons,5030,14311,20080,
"        5245 Patternmakers - textile, leather and fur products",230,23950,35609,
"      525 Athletes, coaches, referees and related occupations",64280,7188,16273,
        5251 Athletes,995,16046,141265,
        5252 Coaches,3445,21561,32874,
        5253 Sports officials and referees,1620,3654,11743,
"        5254 Program leaders and instructors in recreation, sport and fitness",58225,6894,13279,
  6 Sales and service occupations,1651810,17891,27424,
