"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Belleville,,,,
Global non-response rate (GNR) =   4.8 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        4212 Social and community service workers,785,41172,38466,
        4214 Early childhood educators and assistants,435,28228,26651,
        4215 Instructors of persons with disabilities,80,36863,37629,
        4216 Other instructors,75,12395,21059,
        4217 Other religious occupations,0,0,0,
    43 Occupations in front-line public protection services,1965,68057,68977,
      431 Occupations in front-line public protection services,1965,68057,68977,
        4311 Police officers (except commissioned),285,102585,95662,
        4312 Firefighters,105,81663,75817,
        4313 Non-commissioned ranks of the Canadian Armed Forces,1575,67628,63733,
"    44 Care providers and educational, legal and public protection support occupations",1095,33833,34772,
      441 Home care providers and educational support occupations,875,25757,25358,
        4411 Home child care providers,210,10520,15589,
"        4412 Home support workers, housekeepers and related occupations",245,31029,27357,
        4413 Elementary and secondary school teacher assistants,415,33768,29054,
      442 Legal and public protection support occupations,220,77214,72255,
        4421 Sheriffs and bailiffs,0,0,0,
        4422 Correctional service officers,210,77465,74026,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",10,0,0,
"  5 Occupations in art, culture, recreation and sport",1055,13380,20835,
    51 Professional occupations in art and culture,380,18327,24317,
"      511 Librarians, archivists, conservators and curators",35,48666,51613,
        5111 Librarians,25,0,0,
        5112 Conservators and curators,0,0,0,
        5113 Archivists,0,0,0,
"      512 Writing, translating and related communications professionals",160,22531,23689,
        5121 Authors and writers,50,18422,23787,
        5122 Editors,35,12866,14370,
        5123 Journalists,60,32444,23029,
"        5125 Translators, terminologists and interpreters",20,0,0,
      513 Creative and performing artists,185,11919,20046,
"        5131 Producers, directors, choreographers and related occupations",45,32214,44429,
"        5132 Conductors, composers and arrangers",10,0,0,
        5133 Musicians and singers,60,6975,9536,
        5134 Dancers,15,0,0,
        5135 Actors and comedians,25,0,0,
"        5136 Painters, sculptors and other visual artists",35,0,0,
"    52 Technical occupations in art, culture, recreation and sport",675,10250,18875,
"      521 Technical occupations in libraries, public archives, museums and art galleries",65,29846,27937,
        5211 Library and public archive technicians,40,30676,37389,
        5212 Technical occupations related to museums and art galleries,30,0,0,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",85,8908,27874,
        5221 Photographers,45,0,0,
        5222 Film and video camera operators,0,0,0,
        5223 Graphic arts technicians,0,0,0,
        5224 Broadcast technicians,10,0,0,
        5225 Audio and video recording technicians,15,0,0,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",0,0,0,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",10,0,0,
"      523 Announcers and other performers, n.e.c.",10,0,0,
        5231 Announcers and other broadcasters,0,0,0,
"        5232 Other performers, n.e.c.",0,0,0,
      524 Creative designers and craftspersons,160,30237,26317,
        5241 Graphic designers and illustrators,80,25448,28933,
        5242 Interior designers and interior decorators,40,34144,30901,
"        5243 Theatre, fashion, exhibit and other creative designers",10,0,0,
        5244 Artisans and craftspersons,30,0,0,
"        5245 Patternmakers - textile, leather and fur products",0,0,0,
"      525 Athletes, coaches, referees and related occupations",355,6956,11542,
        5251 Athletes,10,0,0,
        5252 Coaches,10,0,0,
        5253 Sports officials and referees,10,0,0,
"        5254 Program leaders and instructors in recreation, sport and fitness",325,6951,11582,
  6 Sales and service occupations,12615,16229,21306,
    62 Retail sales supervisors and specialized sales occupations,875,32897,42666,
