"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Winnipeg,,,,
Global non-response rate (GNR) =   4.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        3141 Audiologists and speech-language pathologists,255,68759,64184,
        3142 Physiotherapists,730,56578,54592,
        3143 Occupational therapists,420,61273,58741,
        3144 Other professional occupations in therapy and assessment,215,30162,31427,
    32 Technical occupations in health,7805,44072,47055,
      321 Medical technologists and technicians (except dental health),3910,44983,47751,
        3211 Medical laboratory technologists,780,67802,60333,
        3212 Medical laboratory technicians and pathologists' assistants,715,44646,42111,
        3213 Animal health technologists and veterinary technicians,280,33597,34569,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",240,78115,73906,
        3215 Medical radiation technologists,530,56250,56936,
        3216 Medical sonographers,80,55516,53516,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",95,65391,63989,
        3219 Other medical technologists and technicians (except dental health),1190,32311,35052,
      322 Technical occupations in dental health care,785,50221,50316,
        3221 Denturists,45,64890,89992,
        3222 Dental hygienists and dental therapists,515,55369,51983,
"        3223 Dental technologists, technicians and laboratory assistants",230,32826,39191,
      323 Other technical occupations in health care,3110,42521,45354,
        3231 Opticians,220,44882,45445,
        3232 Practitioners of natural healing,125,18307,23364,
        3233 Licensed practical nurses,1025,45415,48332,
        3234 Paramedical occupations,645,74787,71930,
        3236 Massage therapists,850,27440,28545,
        3237 Other technical occupations in therapy and assessment,230,29878,31914,
    34 Assisting occupations in support of health services,11350,34887,33935,
      341 Assisting occupations in support of health services,11355,34887,33935,
        3411 Dental assistants,855,36640,34719,
"        3413 Nurse aides, orderlies and patient service associates",9380,34693,33864,
        3414 Other assisting occupations in support of health services,1120,34692,33933,
"  4 Occupations in education, law and social, community and government services",56915,42156,50104,
    40 Professional occupations in education services,17975,63739,59471,
      401 University professors and post-secondary assistants,4165,43808,59548,
        4011 University professors and lecturers,2260,94324,91574,
        4012 Post-secondary teaching and research assistants,1900,10998,21493,
      402 College and other vocational instructors,1910,64561,57898,
        4021 College and other vocational instructors,1910,64561,57898,
      403 Secondary and elementary school teachers and educational counsellors,11895,66537,59697,
        4031 Secondary school teachers,4080,74098,63383,
        4032 Elementary school and kindergarten teachers,7140,64323,57794,
        4033 Educational counsellors,675,61623,57527,
"    41 Professional occupations in law and social, community and government services",11910,56469,65607,
"      411 Judges, lawyers and Quebec notaries",2010,97644,115155,
        4111 Judges,115,305355,266214,
        4112 Lawyers and Quebec notaries,1900,94388,106305,
      415 Social and community service professionals,4580,53076,54312,
        4151 Psychologists,410,62273,77768,
        4152 Social workers,1855,59323,56835,
"        4153 Family, marriage and other related counsellors",770,46620,45215,
        4154 Professional occupations in religion,960,49049,47460,
        4155 Probation and parole officers and related occupations,240,64267,75728,
        4156 Employment counsellors,345,37916,37288,
"      416 Policy and program researchers, consultants and officers",5320,54277,56617,
"        4161 Natural and applied science policy researchers, consultants and program officers",510,65829,64457,
        4162 Economists and economic policy researchers and analysts,280,75297,91692,
        4163 Business development officers and marketing researchers and consultants,1115,51550,57279,
"        4164 Social policy researchers, consultants and program officers",945,56916,56375,
"        4165 Health policy researchers, consultants and program officers",835,57903,62985,
"        4166 Education policy researchers, consultants and program officers",690,53391,54040,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",305,34602,33975,
        4168 Program officers unique to government,520,40979,39789,
"        4169 Other professional occupations in social science, n.e.c.",125,41411,39533,
"    42 Paraprofessional occupations in legal, social, community and education services",10935,28002,30788,
"      421 Paraprofessional occupations in legal, social, community and education services",10940,28002,30788,
        4211 Paralegal and related occupations,305,46469,44485,
        4212 Social and community service workers,4855,35704,37024,
        4214 Early childhood educators and assistants,4650,23053,23838,
        4215 Instructors of persons with disabilities,265,28693,34271,
        4216 Other instructors,580,17342,26478,
        4217 Other religious occupations,280,26040,28783,
    43 Occupations in front-line public protection services,3565,94044,84272,
      431 Occupations in front-line public protection services,3565,94044,84272,
        4311 Police officers (except commissioned),1695,103107,94698,
        4312 Firefighters,830,102754,98313,
        4313 Non-commissioned ranks of the Canadian Armed Forces,1040,62058,56000,
"    44 Care providers and educational, legal and public protection support occupations",12525,26175,29060,
      441 Home care providers and educational support occupations,10740,23512,23283,
        4411 Home child care providers,1945,11766,16056,
"        4412 Home support workers, housekeepers and related occupations",3285,25177,26421,
        4413 Elementary and secondary school teacher assistants,5515,26048,23965,
      442 Legal and public protection support occupations,1785,67379,63806,
        4421 Sheriffs and bailiffs,90,51288,51531,
        4422 Correctional service officers,1395,69026,67247,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",305,49611,51439,
"  5 Occupations in art, culture, recreation and sport",11340,20623,28204,
    51 Professional occupations in art and culture,4185,19361,28942,
"      511 Librarians, archivists, conservators and curators",270,60322,56457,
        5111 Librarians,155,64380,60963,
        5112 Conservators and curators,45,61833,56866,
        5113 Archivists,70,48748,45805,
"      512 Writing, translating and related communications professionals",1485,34449,36371,
        5121 Authors and writers,535,26399,29911,
        5122 Editors,310,33194,36821,
        5123 Journalists,310,51855,51296,
"        5125 Translators, terminologists and interpreters",335,29448,32277,
      513 Creative and performing artists,2430,13136,21312,
"        5131 Producers, directors, choreographers and related occupations",490,38050,41119,
"        5132 Conductors, composers and arrangers",110,11912,25642,
        5133 Musicians and singers,980,12007,15956,
        5134 Dancers,265,12787,19095,
        5135 Actors and comedians,255,3125,7542,
"        5136 Painters, sculptors and other visual artists",340,10184,18654,
"    52 Technical occupations in art, culture, recreation and sport",7150,21459,27773,
"      521 Technical occupations in libraries, public archives, museums and art galleries",555,26592,28016,
        5211 Library and public archive technicians,340,36711,34980,
        5212 Technical occupations related to museums and art galleries,210,12883,16770,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",1170,32701,34613,
        5221 Photographers,305,16050,23570,
        5222 Film and video camera operators,115,37159,40346,
        5223 Graphic arts technicians,115,30282,32526,
        5224 Broadcast technicians,45,47604,47562,
        5225 Audio and video recording technicians,170,37826,38110,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",250,39857,44350,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",175,27309,30828,
"      523 Announcers and other performers, n.e.c.",250,16685,45279,
        5231 Announcers and other broadcasters,130,42182,75914,
"        5232 Other performers, n.e.c.",120,6619,11330,
      524 Creative designers and craftspersons,2355,35166,36008,
        5241 Graphic designers and illustrators,1275,37774,36745,
        5242 Interior designers and interior decorators,510,39629,43076,
"        5243 Theatre, fashion, exhibit and other creative designers",255,33448,35010,
        5244 Artisans and craftspersons,290,16658,21133,
"        5245 Patternmakers - textile, leather and fur products",30,0,0,
"      525 Athletes, coaches, referees and related occupations",2820,10070,16470,
        5251 Athletes,35,7678,17750,
        5252 Coaches,140,37300,47061,
        5253 Sports officials and referees,135,1851,7211,
"        5254 Program leaders and instructors in recreation, sport and fitness",2520,10249,15227,
  6 Sales and service occupations,99000,19267,25860,
    62 Retail sales supervisors and specialized sales occupations,9055,40485,51164,
      621 Retail sales supervisors,1635,32121,36467,
        6211 Retail sales supervisors,1635,32121,36467,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,2900,46436,59200,
        6221 Technical sales specialists - wholesale trade,1775,63546,73634,
        6222 Retail and wholesale buyers,1120,27863,36349,
"      623 Insurance, real estate and financial sales occupations",4515,41193,51323,
        6231 Insurance agents and brokers,1820,40413,51571,
        6232 Real estate agents and salespersons,1235,36747,57448,
        6235 Financial sales representatives,1455,42630,45837,
    63 Service supervisors and specialized service occupations,13420,20994,24338,
      631 Service supervisors,2700,26410,33071,
        6311 Food service supervisors,1380,19112,23886,
        6312 Executive housekeepers,90,29952,30780,
"        6313 Accommodation, travel, tourism and related services supervisors",105,55871,54599,
        6314 Customer and information services supervisors,375,45275,46732,
        6315 Cleaning supervisors,380,43445,44355,
