"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Brantford [1],,,,
Global non-response rate (GNR) =   5.3 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
    34 Assisting occupations in support of health services,1190,31825,30963,
      341 Assisting occupations in support of health services,1190,31825,30963,
        3411 Dental assistants,160,34191,32282,
"        3413 Nurse aides, orderlies and patient service associates",925,31031,29920,
        3414 Other assisting occupations in support of health services,105,37693,38255,
"  4 Occupations in education, law and social, community and government services",7025,46442,53966,
    40 Professional occupations in education services,2535,70549,65481,
      401 University professors and post-secondary assistants,220,51841,60700,
        4011 University professors and lecturers,120,90894,89752,
        4012 Post-secondary teaching and research assistants,100,10633,27095,
      402 College and other vocational instructors,235,59883,58509,
        4021 College and other vocational instructors,235,59883,58509,
      403 Secondary and elementary school teachers and educational counsellors,2080,74754,66766,
        4031 Secondary school teachers,720,89710,74408,
        4032 Elementary school and kindergarten teachers,1250,68306,63093,
        4033 Educational counsellors,105,52751,57848,
"    41 Professional occupations in law and social, community and government services",1260,54515,60989,
"      411 Judges, lawyers and Quebec notaries",90,146218,140103,
        4111 Judges,10,0,0,
        4112 Lawyers and Quebec notaries,80,143286,125836,
      415 Social and community service professionals,640,51294,52300,
        4151 Psychologists,45,37622,57810,
        4152 Social workers,245,61076,59147,
"        4153 Family, marriage and other related counsellors",90,45412,42243,
        4154 Professional occupations in religion,165,51361,49781,
        4155 Probation and parole officers and related occupations,15,0,0,
        4156 Employment counsellors,75,41470,41540,
"      416 Policy and program researchers, consultants and officers",530,56584,57809,
"        4161 Natural and applied science policy researchers, consultants and program officers",45,64184,69738,
        4162 Economists and economic policy researchers and analysts,15,0,0,
        4163 Business development officers and marketing researchers and consultants,150,63701,69523,
"        4164 Social policy researchers, consultants and program officers",60,70894,73803,
"        4165 Health policy researchers, consultants and program officers",80,39615,51705,
"        4166 Education policy researchers, consultants and program officers",75,60853,56074,
