"","occupation","employment","median.income","mean.income","geography"
"20313","        2225 Landscape and horticulture technicians and specialists","180","29868","32627","Kelowna"
"20413","      223 Technical occupations in civil, mechanical and industrial engineering","480","63327","60098","Kelowna"
"20513","        2231 Civil engineering technologists and technicians","230","61333","57321","Kelowna"
"20613","        2232 Mechanical engineering technologists and technicians","40","83324","83739","Kelowna"
"20713","        2233 Industrial engineering and manufacturing technologists and technicians","80","61121","62180","Kelowna"
"20813","        2234 Construction estimators","120","59525","56293","Kelowna"
"20913","      224 Technical occupations in electronics and electrical engineering","640","53550","55883","Kelowna"
"21013","        2241 Electrical and electronics engineering technologists and technicians","220","55841","61410","Kelowna"
"21117","        2242 Electronic service technicians (household and business equipment)","325","46251","44132","Kelowna"
"21215","        2243 Industrial instrument technicians and mechanics","25","0","0","Kelowna"
"21313","        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors","70","75531","82012","Kelowna"
"21413","      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology","235","50738","48195","Kelowna"
"21513","        2251 Architectural technologists and technicians","35","61461","48357","Kelowna"
"21613","        2252 Industrial designers","30","0","0","Kelowna"
"21713","        2253 Drafting technologists and technicians","90","44981","39116","Kelowna"
"21813","        2254 Land survey technologists and technicians","35","0","59407","Kelowna"
"21913","        2255 Technical occupations in geomatics and meteorology","50","56902","54492","Kelowna"
"22013","      226 Other technical inspectors and regulatory officers","315","69567","65788","Kelowna"
"22117","        2261 Non-destructive testers and inspection technicians","55","50966","59505","Kelowna"
"22215","        2262 Engineering inspectors and regulatory officers","15","0","0","Kelowna"
"22313","        2263 Inspectors in public and environmental health and occupational health and safety","145","71296","66747","Kelowna"
"22413","        2264 Construction inspectors","100","66169","61528","Kelowna"
"22513","      227 Transportation officers and controllers","300","105393","119388","Kelowna"
"22613","        2271 Air pilots, flight engineers and flying instructors","215","118153","135260","Kelowna"
"22713","        2272 Air traffic controllers and related occupations","35","0","0","Kelowna"
"22813","        2273 Deck officers, water transport","35","0","78610","Kelowna"
"22913","        2274 Engineer officers, water transport","10","0","0","Kelowna"
"23013","        2275 Railway traffic controllers and marine traffic regulators","10","0","0","Kelowna"
"23117","      228 Technical occupations in computer and information systems","435","55531","53394","Kelowna"
"23215","        2281 Computer network technicians","255","60465","57332","Kelowna"
"23313","        2282 User support technicians","165","48101","47167","Kelowna"
"23413","        2283 Information systems testing technicians","15","0","0","Kelowna"
"23513","  3 Health occupations","8310","45985","54374","Kelowna"
"23613","    30 Professional occupations in nursing","2060","68164","63088","Kelowna"
"23713","      301 Professional occupations in nursing","2060","68164","63088","Kelowna"
"23813","        3011 Nursing co-ordinators and supervisors","105","87713","70494","Kelowna"
"23913","        3012 Registered nurses and registered psychiatric nurses","1955","67541","62682","Kelowna"
"24013","    31 Professional occupations in health (except nursing)","1490","76429","92310","Kelowna"
"24117","      311 Physicians, dentists and veterinarians","655","118991","130571","Kelowna"
"24215","        3111 Specialist physicians","260","119983","145197","Kelowna"
"24313","        3112 General practitioners and family physicians","240","85380","127082","Kelowna"
"24413","        3113 Dentists","125","134297","129535","Kelowna"
"24513","        3114 Veterinarians","35","0","0","Kelowna"
"24613","      312 Optometrists, chiropractors and other health diagnosing and treating professionals","170","42968","51362","Kelowna"
"24713","        3121 Optometrists","50","48056","48289","Kelowna"
"24813","        3122 Chiropractors","60","30528","46329","Kelowna"
"24913","        3124 Allied primary health practitioners","30","93271","82921","Kelowna"
"25013","        3125 Other professional occupations in health diagnosing and treating","30","0","0","Kelowna"
"25117","      313 Pharmacists, dietitians and nutritionists","275","75209","80104","Kelowna"
"25215","        3131 Pharmacists","200","99336","95433","Kelowna"
"25313","        3132 Dietitians and nutritionists","75","41660","37993","Kelowna"
"25413","      314 Therapy and assessment professionals","395","57916","55000","Kelowna"
"25513","        3141 Audiologists and speech-language pathologists","70","63382","58646","Kelowna"
"25613","        3142 Physiotherapists","145","48616","54801","Kelowna"
"25713","        3143 Occupational therapists","100","63147","64827","Kelowna"
"25813","        3144 Other professional occupations in therapy and assessment","80","41294","39940","Kelowna"
"25913","    32 Technical occupations in health","2495","42814","43204","Kelowna"
"26013","      321 Medical technologists and technicians (except dental health)","1080","44562","44427","Kelowna"
"26117","        3211 Medical laboratory technologists","160","60279","56875","Kelowna"
"26215","        3212 Medical laboratory technicians and pathologists' assistants","190","38823","38703","Kelowna"
"26313","        3213 Animal health technologists and veterinary technicians","140","27661","30182","Kelowna"
"26413","        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists","60","64004","60065","Kelowna"
"26513","        3215 Medical radiation technologists","175","64709","60532","Kelowna"
"26613","        3216 Medical sonographers","30","0","54965","Kelowna"
"26713","        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.","20","0","0","Kelowna"
"26813","        3219 Other medical technologists and technicians (except dental health)","300","35932","34049","Kelowna"
"26913","      322 Technical occupations in dental health care","220","54692","53500","Kelowna"
"27013","        3221 Denturists","0","0","0","Kelowna"
"27117","        3222 Dental hygienists and dental therapists","165","65614","59116","Kelowna"
"27215","        3223 Dental technologists, technicians and laboratory assistants","50","42019","37529","Kelowna"
"27313","      323 Other technical occupations in health care","1195","40937","40209","Kelowna"
"27413","        3231 Opticians","75","36980","42193","Kelowna"
"27513","        3232 Practitioners of natural healing","80","17341","17858","Kelowna"
"27613","        3233 Licensed practical nurses","645","45477","42975","Kelowna"
"27713","        3234 Paramedical occupations","160","43225","52146","Kelowna"
"27813","        3236 Massage therapists","180","25239","31167","Kelowna"
"27913","        3237 Other technical occupations in therapy and assessment","60","33021","32387","Kelowna"
"28013","    34 Assisting occupations in support of health services","2260","35738","33720","Kelowna"
"28117","      341 Assisting occupations in support of health services","2260","35738","33720","Kelowna"
