NOC6_2 digit,NOC16_4 digit,Introspection 1,Introspection 2
"    72 Industrial, electrical and construction trades","        7203 Contractors and supervisors, pipefitting trades",0.5,0
"    72 Industrial, electrical and construction trades","        7204 Contractors and supervisors, carpentry trades",0.5,0
"    72 Industrial, electrical and construction trades","        7205 Contractors and supervisors, other construction trades, installers, repairers and servicers",0.5,0
"    72 Industrial, electrical and construction trades",        7231 Machinists and machining and tooling inspectors,0.5,0
"    72 Industrial, electrical and construction trades",        7232 Tool and die makers,0,0
"    72 Industrial, electrical and construction trades",        7233 Sheet metal workers,0,0
"    72 Industrial, electrical and construction trades",        7234 Boilermakers,0,0
"    72 Industrial, electrical and construction trades",        7235 Structural metal and platework fabricators and fitters,0,0
"    72 Industrial, electrical and construction trades",        7236 Ironworkers,0,0
"    72 Industrial, electrical and construction trades",        7237 Welders and related machine operators,0,0
"    72 Industrial, electrical and construction trades",        7241 Electricians (except industrial and power system),0.5,0
"    72 Industrial, electrical and construction trades",        7242 Industrial electricians,0,0
"    72 Industrial, electrical and construction trades",        7243 Power system electricians,0,0
"    72 Industrial, electrical and construction trades",        7244 Electrical power line and cable workers,0,0
"    72 Industrial, electrical and construction trades",        7245 Telecommunications line and cable workers,0,0
"    72 Industrial, electrical and construction trades",        7246 Telecommunications installation and repair workers,0,0
"    72 Industrial, electrical and construction trades",        7247 Cable television service and maintenance technicians,0,0
